node_id,betweenness_centrality,longitude,latitude,rank,criticality
6291069409,0.3777411705977785,3.407915,6.6070186,1,High
6291069443,0.3767297913617644,3.4112068,6.6104021,2,High
12408473959,0.2343791112169996,3.3959706,6.6014247,3,High
6291069372,0.2172980724504498,3.4195,6.6111871,4,High
5789206286,0.2131497453002507,3.4429546,6.6140993,5,High
6291069159,0.2131005298208592,3.4263058,6.6089582,6,High
5789206294,0.2130988961119998,3.4304588,6.6095492,7,High
6291069350,0.21298571639268,3.4347801,6.6091199,8,High
5789206278,0.2115457835562665,3.4552981,6.620928,9,High
5789206282,0.2115184416232712,3.4445223,6.6152849,10,High
5591385361,0.2093708178754977,3.4752177,6.6194287,11,High
6291069030,0.2087419307262062,3.4663802,6.618902,12,High
1577179257,0.1998339516467558,3.5061751,6.6263676,13,High
2335292407,0.1964930624099474,3.3959039,6.6014565,14,High
2335292384,0.1944231079042011,3.3991909,6.6064585,15,High
2335292274,0.194411785394189,3.3989778,6.6066052,16,High
2335292517,0.1933946201059641,3.3990843,6.6062226,17,High
6291069628,0.1931294600819123,3.4033232,6.6038969,18,High
6291069606,0.1931181375719002,3.4021622,6.6045022,19,High
6291069229,0.1931000533224419,3.4016211,6.6048589,20,High
6291069227,0.1930853499427067,3.4012028,6.6051013,21,High
6291069597,0.1930684455940914,3.4004159,6.6056144,22,High
3745529812,0.1930650647243683,3.3997065,6.6060877,23,High
2335292481,0.1920683888680893,3.3966079,6.6027625,24,High
2335292374,0.1920570663580772,3.3973065,6.6038908,25,High
6291069550,0.1913742214356216,3.4074233,6.606651,26,High
6291069544,0.191362966996812,3.4064513,6.6054846,27,High
287267462,0.1911595475534075,3.4056447,6.604465,28,High
287267470,0.1911482250433953,3.4041282,6.6036402,29,High
1577180908,0.1906217396730313,3.5063405,6.6263911,30,High
6291069623,0.1903133544354061,3.4005529,6.6052136,31,High
6291069596,0.1902793869053696,3.4007801,6.6050619,32,High
6291069624,0.1902680643953575,3.4016178,6.6045042,33,High
2335292597,0.1900080097114915,3.4019114,6.6044241,34,High
12408473957,0.1895519099644895,3.3959821,6.6014719,35,High
12964446999,0.1894651872525328,3.396552,6.6026502,36,High
2863608972,0.1887710425104659,3.5128382,6.629547,37,High
2863608964,0.1885125761546577,3.5231513,6.6307992,38,High
2863360900,0.1884821256367493,3.5135476,6.6297208,39,High
5514326225,0.1884490657227459,3.523659,6.6308461,40,High
11726301396,0.1884465017074526,3.5243196,6.630905,41,High
6291069590,0.1880026320864957,3.403734,6.6036149,42,High
6291069572,0.1879742010142609,3.4060192,6.6047859,43,High
4562374152,0.1879733160886287,3.5187491,6.6303969,44,High
6291069566,0.1879695948628932,3.4075507,6.6065804,45,High
2863608957,0.187916567396163,3.5218263,6.6306939,46,High
4562374142,0.1879108040343532,3.5195571,6.6304821,47,High
2863608956,0.1878953518713908,3.5198669,6.6305128,48,High
4562374147,0.1878516728498009,3.5212174,6.6306353,49,High
11726301394,0.1868773470383354,3.5288909,6.6313861,50,High
2863362840,0.1868704264660835,3.5291809,6.6314279,51,High
287266106,0.1863247223262198,3.530024,6.6315972,52,High
1577179958,0.1862742134939813,3.5336119,6.6327021,53,High
287266239,0.1857354299263696,3.5104908,6.6287004,54,High
287266202,0.1857160296336634,3.5126343,6.6294884,55,High
2863362384,0.185715439683242,3.5116714,6.6291606,56,High
2867772892,0.1854461953870415,3.5078573,6.627313,57,High
4552783459,0.1854355989698557,3.5089114,6.6279724,58,High
287266255,0.1854215536117445,3.509899,6.628456,59,High
2863362795,0.1853628989256095,3.51025,6.628601,60,High
4347939521,0.1641769170552397,3.4158857,6.6119425,61,High
4414846928,0.1638289143777724,3.4189756,6.6113203,62,High
6291068937,0.1638062693577482,3.4192747,6.6111589,63,High
4414857277,0.1629648412239202,3.4321547,6.609322,64,High
6991204424,0.1627859501038085,3.4126282,6.6113173,65,High
4414846752,0.1627746275937964,3.4147954,6.6117586,66,High
12632594734,0.1624676264706216,3.4333705,6.6091951,67,High
5789206318,0.1624578695982664,3.434979,6.6089677,68,High
287267957,0.1624465470882543,3.4387006,6.6088838,69,High
287269031,0.16242390206823,3.4429988,6.6139807,70,High
1512059641,0.1620870857583699,3.426575,6.6088845,71,High
1512059640,0.1610439399611994,3.427227,6.6090036,72,High
1512059639,0.1610326174511872,3.4278517,6.6091082,73,High
4414859051,0.1610212949411751,3.4286021,6.6092102,74,High
5514322956,0.161017006455419,3.4555019,6.6207467,75,High
287267863,0.161009972431163,3.430412,6.6093993,76,High
287268524,0.1610056839454068,3.4592329,6.6189404,77,High
5789206280,0.1609961085962583,3.4446687,6.6151992,78,High
287267818,0.1609954505746343,3.4316652,6.609402,79,High
5789206276,0.1609830389253826,3.4662097,6.6188018,80,High
4419375547,0.1609704457529242,3.4667994,6.6186566,81,High
4419375560,0.1609251557128756,3.4682257,6.6186526,82,High
4347939478,0.1606263231339981,3.422726,6.609342,83,High
287268415,0.160562200061264,3.4250267,6.6087112,84,High
6291069440,0.1600822980837956,3.4113857,6.6104054,85,High
13199983981,0.1600709755737835,3.4122349,6.61105,86,High
4414846914,0.159504260122755,3.4207634,6.6103931,87,High
1473223309,0.1580427714055568,3.3825713,6.592487,88,High
1473223347,0.1580314488955447,3.3834662,6.5937865,89,High
1473223204,0.1543492279591118,3.3852604,6.5962326,90,High
1473223293,0.154322612118943,3.3848805,6.5957072,91,High
4087237227,0.1537591640856335,3.4752833,6.619364,92,High
2339172703,0.1528927311300954,3.3910243,6.6019417,93,High
1473223225,0.1525857073165197,3.3859992,6.5972015,94,High
12921400819,0.1525295939552772,3.3869347,6.5983907,95,High
2339172714,0.1525149132659428,3.3889482,6.6011077,96,High
2335292296,0.1520817535141758,3.3940935,6.6017078,97,High
2335292440,0.152076126294771,3.3941577,6.6018475,98,High
2341889029,0.1520502138570277,3.3954773,6.6014583,99,High
2340439146,0.1520456757768626,3.3952051,6.6015441,100,High
4414876134,0.1520143176429211,3.3947975,6.6016273,101,High
8767991853,0.1520128200764666,3.3948579,6.6016183,102,High
2339172654,0.1519054944805599,3.392497,6.6028204,103,High
2340439109,0.1518077896146035,3.3930803,6.6025265,104,High
6291362289,0.1516156699908104,3.387005,6.5984752,105,High
12921400814,0.1516078191121246,3.3871721,6.5986874,106,High
6291362204,0.1516068888056907,3.3889204,6.6011227,107,High
10928051991,0.1506230557162792,3.5337519,6.6327684,108,High
2335292433,0.1485832340628297,3.3979155,6.6072862,109,High
2335292230,0.1463117207265466,3.3975132,6.6074998,110,High
13006871560,0.1463069330519723,3.3918789,6.6054844,111,High
1577178973,0.1313718843243365,3.4752531,6.6194737,112,High
1796677795,0.13087335352779,3.4832762,6.6244475,113,High
2869622663,0.1286228968834734,3.4784047,6.6200887,114,High
1796677786,0.1286105759958249,3.4823884,6.62317,115,High
2869622664,0.128601567906697,3.4777857,6.6198769,116,High
1796677784,0.1285882486414122,3.4818191,6.6223567,117,High
6291068926,0.1285722972896316,3.4754497,6.6195467,118,High
5575742414,0.128366540734942,3.4817185,6.6222135,119,High
2398364230,0.1283552182249299,3.4806289,6.6209666,120,High
1479467066,0.1266930556028272,3.484565,6.6256605,121,High
13006871558,0.1259229887795968,3.3915365,6.6050246,122,High
287267658,0.1259116662695846,3.3860744,6.5976643,123,High
2867818754,0.1255900979090795,3.5401404,6.6360131,124,High
5789206269,0.1210228605788321,3.4947264,6.6243643,125,High
2863509512,0.1210115380688199,3.4943564,6.6244515,126,High
2863547690,0.1195544966701836,3.4980552,6.6259702,127,High
2863509509,0.1190876870539918,3.4967395,6.6259915,128,High
2863509507,0.1180034943217271,3.5011075,6.6259169,129,High
5210744432,0.1160083500675039,3.5060661,6.6264409,130,High
5210744425,0.1159970275574917,3.5060265,6.6263356,131,High
5431118977,0.1138183406509875,3.5440812,6.6380273,132,High
2863548425,0.1134375730347276,3.4880854,6.6253747,133,High
2398364190,0.1132040434294271,3.4855091,6.625831,134,High
2863547698,0.1124142132670773,3.4911928,6.6249644,135,High
6291068254,0.1122342556981269,3.4903332,6.6250403,136,High
2863548405,0.1122116333685034,3.4896572,6.6251176,137,High
2863547680,0.1117927912596575,3.4961817,6.6237268,138,High
287266375,0.1117878674426783,3.4948982,6.624309,139,High
1479467221,0.1115751449349352,3.4849479,6.6257803,140,High
1796677832,0.1115636409017165,3.4846737,6.6257147,141,High
5210744424,0.1107954346913538,3.5057437,6.625817,142,High
2863547679,0.1107420441782104,3.4966947,6.6251376,143,High
2863547681,0.1107323780674585,3.4964754,6.6245141,144,High
1479467451,0.1107110490906821,3.5035861,6.6203619,145,High
1479467513,0.11069972658067,3.5036091,6.6204791,146,High
5564417720,0.1105270299399838,3.496215,6.6238322,147,High
2398364221,0.1104011209058008,3.5054648,6.6252508,148,High
1090910205,0.1101607387994508,3.3973752,6.4446765,149,High
1472172473,0.1101494162894387,3.399004,6.4435004,150,High
1472172469,0.1090095413135473,3.4014842,6.4414862,151,High
2867818752,0.1090018492676673,3.5475406,6.6397844,152,High
31674770,0.1089982188035351,3.4058898,6.4388759,153,High
1472506541,0.1089963355002666,3.4076428,6.4372494,154,High
1472506609,0.1089850129902544,3.4077562,6.4370359,155,High
3745490535,0.1089710810841473,3.5476908,6.6398616,156,High
4453291344,0.1086788060311085,3.5019089,6.6259129,157,High
287266042,0.1084672407338075,3.5528474,6.6425005,158,High
5511541797,0.1084585276198904,3.5536024,6.6428801,159,High
5431140195,0.1084158469759368,3.5546657,6.6434062,160,High
2863509518,0.1083533349216613,3.5029596,6.6259088,161,High
5431649251,0.1083399702755749,3.5552064,6.6436954,162,High
2863511440,0.1083308714248437,3.5047258,6.6256012,163,High
5210744437,0.1079118477927912,3.5061608,6.6264161,164,High
5511412541,0.1078324994611029,3.5552984,6.6437416,165,High
5540337820,0.1078040230080664,3.5339552,6.6328646,166,High
287266055,0.1077994622375004,3.5347251,6.6332489,167,High
4553698891,0.1077588691104228,3.5372664,6.6345665,168,High
10656776599,0.1077544898630634,3.5373383,6.6345958,169,High
287265926,0.1077451414179231,3.5672092,6.6470789,170,High
2863555967,0.1077299615397705,3.494336,6.6242001,171,High
287267797,0.1077186390297584,3.4947346,6.6241078,172,High
2863362548,0.1076236343215002,3.557568,6.6448889,173,High
5511712925,0.1075517511316837,3.5610589,6.646301,174,High
287265964,0.1074936863959701,3.563379,6.6467645,175,High
5511351568,0.1074856539940778,3.5609047,6.646249,176,High
5511351641,0.1074647788253179,3.5644732,6.6468915,177,High
5431118971,0.1074410219756532,3.5589802,6.645543,178,High
10289260089,0.1072360595849925,3.560362,6.6460724,179,High
4087237228,0.10715961562461,3.4752047,6.619368,180,High
1479467053,0.1069019434328307,3.5033085,6.6203739,181,High
287268628,0.1065010267406373,3.4755582,6.6193473,182,High
10153757188,0.1064897042306252,3.4771392,6.619478,183,High
2398364212,0.1064701904859149,3.4706135,6.6195585,184,High
2869722405,0.1064654935729439,3.474669,6.6193853,185,High
1577180645,0.1064541710629318,3.4749191,6.6193747,186,High
2869722307,0.1064444141905766,3.4819418,6.6223001,187,High
5575994778,0.1063425116004674,3.4825446,6.6231733,188,High
2398364203,0.1063311890904552,3.4830523,6.6238993,189,High
287269086,0.1062632540303824,3.4845496,6.6254067,190,High
1479466890,0.1062406090103581,3.4846669,6.625452,191,High
